topology,case_id,vehicle_id,architecture,previous_state,new_state,detected_at,qualified_at,finalized_at,ledger_available_at,decision_margin,committed,reason,metadata,attack_type,ground_truth_malicious,predicted_revoked,article_native_reference_qualified,inferred_attack_type,seed
smoke,case-1001-veh_000-w0000,veh_000,centralized_vpuft,trusted,trusted,1.0,,14.025643345211178,,-0.9545974559698388,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9545974559698387, 'independent_roots': 0, 'correlated_suppressed': 14, 'attempted_attestations': 28, 'arrived_attestations': 28, 'dropped_attestations': 0}",benign,0,0,0,position_offset,1001
smoke,case-1001-veh_001-w0000,veh_001,centralized_vpuft,trusted,trusted,2.0,,14.030173483263244,,-0.9518655935578436,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9518655935578435, 'independent_roots': 0, 'correlated_suppressed': 17, 'attempted_attestations': 30, 'arrived_attestations': 30, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
smoke,case-1001-veh_002-w0000,veh_002,centralized_vpuft,trusted,trusted,3.0,,14.034651681468777,,-0.9486064490310854,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9486064490310854, 'independent_roots': 0, 'correlated_suppressed': 12, 'attempted_attestations': 24, 'arrived_attestations': 24, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
smoke,case-1001-veh_003-w0000,veh_003,centralized_vpuft,trusted,trusted,4.0,,14.048053964423382,,-0.9447086225270436,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9447086225270435, 'independent_roots': 0, 'correlated_suppressed': 12, 'attempted_attestations': 23, 'arrived_attestations': 23, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
smoke,case-1001-veh_004-w0000,veh_004,centralized_vpuft,trusted,trusted,5.0,,14.050595948658655,,-0.940028836600891,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.940028836600891, 'independent_roots': 0, 'correlated_suppressed': 10, 'attempted_attestations': 20, 'arrived_attestations': 20, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
smoke,case-1001-veh_005-w0000,veh_005,centralized_vpuft,trusted,trusted,6.0,,14.054537217393229,,-0.934323106576631,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.934323106576631, 'independent_roots': 0, 'correlated_suppressed': 9, 'attempted_attestations': 18, 'arrived_attestations': 18, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
smoke,case-1001-veh_006-w0000,veh_006,centralized_vpuft,trusted,trusted,7.0,,14.056264511198306,,-0.9272469632093944,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9272469632093943, 'independent_roots': 0, 'correlated_suppressed': 8, 'attempted_attestations': 16, 'arrived_attestations': 16, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
smoke,case-1001-veh_007-w0000,veh_007,centralized_vpuft,trusted,trusted,8.0,,14.060053964423382,,-0.918263053140536,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.6621119868004399, 'supporting_strength': 0.0, 'opposing_strength': 0.9182630531405361, 'independent_roots': 0, 'correlated_suppressed': 7, 'attempted_attestations': 14, 'arrived_attestations': 14, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
smoke,case-1001-veh_008-w0000,veh_008,centralized_vpuft,trusted,trusted,9.0,,14.062595948658656,,-0.906514325705918,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 3.0773054025097224, 'supporting_strength': 0.0, 'opposing_strength': 0.9065143257059181, 'independent_roots': 0, 'correlated_suppressed': 6, 'attempted_attestations': 12, 'arrived_attestations': 12, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
smoke,case-1001-veh_009-w0000,veh_009,centralized_vpuft,trusted,trusted,10.0,,14.066537217393227,,-0.8905216549646431,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 3.457676729835768, 'supporting_strength': 0.0, 'opposing_strength': 0.8905216549646431, 'independent_roots': 0, 'correlated_suppressed': 5, 'attempted_attestations': 10, 'arrived_attestations': 10, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
