topology,case_id,seed,attack_type,inferred_attack_type,ground_truth_malicious,attack_type_correct
smoke,case-1001-veh_000-w0000,1001,benign,position_offset,0,0
smoke,case-1001-veh_000-w0001,1001,benign,benign,0,1
smoke,case-1001-veh_000-w0002,1001,benign,benign,0,1
smoke,case-1001-veh_000-w0003,1001,benign,benign,0,1
smoke,case-1001-veh_000-w0004,1001,benign,benign,0,1
smoke,case-1001-veh_000-w0005,1001,benign,benign,0,1
smoke,case-1001-veh_000-w0006,1001,benign,benign,0,1
smoke,case-1001-veh_001-w0000,1001,benign,benign,0,1
smoke,case-1001-veh_001-w0001,1001,benign,benign,0,1
smoke,case-1001-veh_001-w0002,1001,benign,benign,0,1
smoke,case-1001-veh_001-w0003,1001,benign,benign,0,1
smoke,case-1001-veh_001-w0004,1001,benign,benign,0,1
smoke,case-1001-veh_001-w0005,1001,benign,benign,0,1
smoke,case-1001-veh_001-w0006,1001,benign,benign,0,1
smoke,case-1001-veh_002-w0000,1001,benign,benign,0,1
smoke,case-1001-veh_002-w0001,1001,position_offset,position_offset,1,1
smoke,case-1001-veh_002-w0002,1001,position_offset,position_offset,1,1
smoke,case-1001-veh_002-w0003,1001,position_offset,position_offset,1,1
smoke,case-1001-veh_002-w0004,1001,position_offset,position_offset,1,1
smoke,case-1001-veh_002-w0005,1001,benign,benign,0,1
smoke,case-1001-veh_002-w0006,1001,benign,benign,0,1
smoke,case-1001-veh_003-w0000,1001,benign,benign,0,1
smoke,case-1001-veh_003-w0001,1001,benign,benign,0,1
smoke,case-1001-veh_003-w0002,1001,benign,benign,0,1
smoke,case-1001-veh_003-w0003,1001,benign,benign,0,1
smoke,case-1001-veh_003-w0004,1001,benign,benign,0,1
smoke,case-1001-veh_003-w0005,1001,benign,benign,0,1
smoke,case-1001-veh_003-w0006,1001,benign,benign,0,1
smoke,case-1001-veh_004-w0000,1001,benign,benign,0,1
smoke,case-1001-veh_004-w0001,1001,speed_offset,speed_offset,1,1
smoke,case-1001-veh_004-w0002,1001,speed_offset,speed_offset,1,1
smoke,case-1001-veh_004-w0003,1001,speed_offset,speed_offset,1,1
smoke,case-1001-veh_004-w0004,1001,speed_offset,speed_offset,1,1
smoke,case-1001-veh_004-w0005,1001,benign,benign,0,1
smoke,case-1001-veh_004-w0006,1001,benign,benign,0,1
smoke,case-1001-veh_005-w0000,1001,benign,benign,0,1
smoke,case-1001-veh_005-w0001,1001,benign,benign,0,1
smoke,case-1001-veh_005-w0002,1001,benign,benign,0,1
smoke,case-1001-veh_005-w0003,1001,benign,benign,0,1
smoke,case-1001-veh_005-w0004,1001,benign,benign,0,1
smoke,case-1001-veh_005-w0005,1001,benign,benign,0,1
smoke,case-1001-veh_005-w0006,1001,benign,benign,0,1
smoke,case-1001-veh_006-w0000,1001,benign,benign,0,1
smoke,case-1001-veh_006-w0001,1001,replay,replay,1,1
smoke,case-1001-veh_006-w0002,1001,replay,replay,1,1
smoke,case-1001-veh_006-w0003,1001,replay,replay,1,1
smoke,case-1001-veh_006-w0004,1001,replay,replay,1,1
smoke,case-1001-veh_006-w0005,1001,benign,benign,0,1
smoke,case-1001-veh_006-w0006,1001,benign,benign,0,1
smoke,case-1001-veh_007-w0000,1001,benign,benign,0,1
smoke,case-1001-veh_007-w0001,1001,benign,benign,0,1
smoke,case-1001-veh_007-w0002,1001,benign,benign,0,1
smoke,case-1001-veh_007-w0003,1001,benign,benign,0,1
smoke,case-1001-veh_007-w0004,1001,benign,benign,0,1
smoke,case-1001-veh_007-w0005,1001,benign,benign,0,1
smoke,case-1001-veh_007-w0006,1001,benign,benign,0,1
smoke,case-1001-veh_008-w0000,1001,benign,benign,0,1
smoke,case-1001-veh_008-w0001,1001,benign,certificate_tamper,0,0
smoke,case-1001-veh_008-w0002,1001,certificate_tamper,certificate_tamper,1,1
smoke,case-1001-veh_008-w0003,1001,certificate_tamper,certificate_tamper,1,1
smoke,case-1001-veh_008-w0004,1001,certificate_tamper,certificate_tamper,1,1
smoke,case-1001-veh_008-w0005,1001,benign,certificate_tamper,0,0
smoke,case-1001-veh_008-w0006,1001,benign,benign,0,1
