topology,seed,case_id,ground_truth_attack_type,ground_truth_malicious,inferred_attack_type,attack_type_correct
smoke,1001,case-smoke-1001-veh_000-w0000,benign,0,position_offset,0
smoke,1001,case-smoke-1001-veh_000-w0001,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_000-w0002,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_000-w0003,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_000-w0004,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_000-w0005,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_000-w0006,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_001-w0000,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_001-w0001,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_001-w0002,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_001-w0003,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_001-w0004,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_001-w0005,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_001-w0006,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_002-w0000,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_002-w0001,position_offset,1,position_offset,1
smoke,1001,case-smoke-1001-veh_002-w0002,position_offset,1,position_offset,1
smoke,1001,case-smoke-1001-veh_002-w0003,position_offset,1,position_offset,1
smoke,1001,case-smoke-1001-veh_002-w0004,position_offset,1,position_offset,1
smoke,1001,case-smoke-1001-veh_002-w0005,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_002-w0006,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_003-w0000,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_003-w0001,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_003-w0002,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_003-w0003,benign,0,benign,1
smoke,1001,case-smoke-1001-veh_003-w0004,benign,0,benign,1
