case_id,vehicle_id,architecture,previous_state,new_state,detected_at,qualified_at,finalized_at,ledger_available_at,decision_margin,committed,reason,metadata,attack_type,ground_truth_malicious,predicted_revoked,article_native_reference_qualified,inferred_attack_type,seed
case-1001-veh_000-w0000,veh_000,centralized_vpuft,trusted,trusted,1.0,,14.025643345211178,,-0.9545974559698387,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9545974559698387, 'independent_roots': 0, 'correlated_suppressed': 14, 'attempted_attestations': 28, 'arrived_attestations': 28, 'dropped_attestations': 0}",benign,0,0,0,position_offset,1001
case-1001-veh_001-w0000,veh_001,centralized_vpuft,trusted,trusted,2.0,,14.02594948326325,,-0.9510098105892533,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9510098105892533, 'independent_roots': 0, 'correlated_suppressed': 15, 'attempted_attestations': 28, 'arrived_attestations': 28, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_002-w0000,veh_002,centralized_vpuft,trusted,trusted,3.0,,14.030427681468781,,-0.9486099528104381,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9486099528104381, 'independent_roots': 0, 'correlated_suppressed': 12, 'attempted_attestations': 24, 'arrived_attestations': 24, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_003-w0000,veh_003,centralized_vpuft,trusted,trusted,4.0,,14.032563677325268,,-0.9436768694202766,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9436768694202766, 'independent_roots': 0, 'correlated_suppressed': 11, 'attempted_attestations': 22, 'arrived_attestations': 22, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_004-w0000,veh_004,centralized_vpuft,trusted,trusted,5.0,,14.037643345211178,,-0.9400394320632496,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 5.495396552511522, 'supporting_strength': 0.0, 'opposing_strength': 0.9400394320632496, 'independent_roots': 0, 'correlated_suppressed': 10, 'attempted_attestations': 20, 'arrived_attestations': 20, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_005-w0000,veh_005,centralized_vpuft,trusted,trusted,6.0,,14.037949483263251,,-0.9330914067283759,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.3802658700049477, 'supporting_strength': 0.0, 'opposing_strength': 0.9330914067283759, 'independent_roots': 0, 'correlated_suppressed': 9, 'attempted_attestations': 18, 'arrived_attestations': 18, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_006-w0000,veh_006,centralized_vpuft,trusted,trusted,7.0,,14.042427681468782,,-0.9272587976082812,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 2.4271702704599107, 'supporting_strength': 0.0, 'opposing_strength': 0.9272587976082812, 'independent_roots': 0, 'correlated_suppressed': 8, 'attempted_attestations': 16, 'arrived_attestations': 16, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_007-w0000,veh_007,centralized_vpuft,trusted,trusted,8.0,,14.044563677325268,,-0.9167325238114337,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 4.9558248886647505, 'supporting_strength': 0.0, 'opposing_strength': 0.9167325238114337, 'independent_roots': 0, 'correlated_suppressed': 7, 'attempted_attestations': 14, 'arrived_attestations': 14, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_008-w0000,veh_008,centralized_vpuft,trusted,trusted,9.0,,14.049643345211178,,-0.9065264796469574,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 9.204701955011885, 'supporting_strength': 0.0, 'opposing_strength': 0.9065264796469574, 'independent_roots': 0, 'correlated_suppressed': 6, 'attempted_attestations': 12, 'arrived_attestations': 12, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_009-w0000,veh_009,centralized_vpuft,trusted,trusted,10.0,,14.049949483263251,,-0.8885071464237263,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 9.050287074689578, 'supporting_strength': 0.0, 'opposing_strength': 0.8885071464237263, 'independent_roots': 0, 'correlated_suppressed': 5, 'attempted_attestations': 10, 'arrived_attestations': 10, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_010-w0000,veh_010,centralized_vpuft,trusted,trusted,11.0,,14.054427681468782,,-0.8675393404280858,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 9.242922788660124, 'supporting_strength': 0.0, 'opposing_strength': 0.8675393404280858, 'independent_roots': 0, 'correlated_suppressed': 4, 'attempted_attestations': 8, 'arrived_attestations': 8, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
