topology,seed,case_id,ground_truth_malicious,distributed_extension_concealment_rsu,distributed_extension_false_accusation_rsu,distributed_extension_guard_false_accusation_rsu,distributed_extension_guard_honest,distributed_extension_honest,distributed_extension_malicious_validator,classification_changed__distributed_extension_false_accusation_rsu,classification_changed__distributed_extension_concealment_rsu,classification_changed__distributed_extension_malicious_validator,classification_changed__distributed_extension_guard_honest,classification_changed__distributed_extension_guard_false_accusation_rsu
smoke,1001,case-smoke-1001-veh_000-w0000,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_000-w0001,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_000-w0002,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_000-w0003,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_000-w0004,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_000-w0005,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_000-w0006,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_001-w0000,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_001-w0001,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_001-w0002,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_001-w0003,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_001-w0004,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_001-w0005,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_001-w0006,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_002-w0000,0,0,0,0,0,0,0,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_002-w0001,1,1,1,0,0,1,1,0,0,0,1,1
smoke,1001,case-smoke-1001-veh_002-w0002,1,1,1,0,0,1,1,0,0,0,1,1
smoke,1001,case-smoke-1001-veh_002-w0003,1,1,1,1,1,1,1,0,0,0,0,0
smoke,1001,case-smoke-1001-veh_002-w0004,1,0,1,0,0,1,1,0,1,0,1,1
