seed,event_id,case_id,source_kind,attack_type,ground_truth_attack_type,direction,ground_truth_malicious
1001,det-1fa672c70846f83be4095c5c,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-f4791f76fde449f92ea2817c,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-0fd6c879620b0a039a7cc388,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-32a4a1a0857c98b90d1b3c99,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-76b42901d80ec2b14cbe81f1,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-93d8656c1b5e2e19b8a2bde9,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-3d984fb5a0cda1eea296dc27,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-76cbbc8f2b7cfabff76eac66,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-7b7ff793eef1bec4fae654c2,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-9feeeafe6c6ff79ade39d369,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-b41420f3e4c18f90d59f58f6,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-c42137e404f7f46f2b0b9e85,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-2fd021d2616c2f9fbd178d9e,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-8e0d3e058990f9ca7aa4145f,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-a7b6b804bc0c7e1b8b95983e,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-b07d8a0580bd6457ed740330,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-ca7fb497425fcbab8d4628e3,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-dc1be59d413113e1b842cda0,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-f6e14e834447b727cb9b5405,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-fa03c113f259be4cd247797b,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-0fb487f01aeb932867e02eb5,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-3ce2222fcc17ae2d2e2fe801,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-5cb001ad85f20b5fab4e7c2b,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-8261aa3ccf2aee6bf970ad26,case-1001-veh_004-w0000,rsu,benign,benign,-1,0
1001,det-997a943f71c3bae4513c924d,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-9b2dcd3c9b6cb070b84fc653,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-a8a34772234b968acbd6a7bf,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-ba6418e8ceadb966910a256a,case-1001-veh_004-w0000,rsu,benign,benign,-1,0
1001,det-da7e92850520f0c67b9e4447,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-e7d8d1fe3559c37f02ba167e,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,wdet-53dc75de097c6b9298c95946,case-1001-veh_000-w0000,vehicle_witness,position_offset,benign,-1,0
1001,wdet-c92d892b5fe60c3dc9b058dd,case-1001-veh_004-w0000,vehicle_witness,benign,benign,-1,0
1001,det-1ad4079beb58405e67a34e3f,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-1c2124de4713afb721b9802a,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-30a895f06c2ff99e7653ea25,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-32c29c4b13f860d4836cb94f,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-3efc161411fdf97264d368c1,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-545d5f866ad1e5b58d2a2dae,case-1001-veh_005-w0000,rsu,benign,benign,-1,0
1001,det-6368b4f0ff8314525b7dfd27,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-6657ea6eab0b0c4eb38f7a81,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-bc15efbfaea25173c427d932,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-ca4ea5aea2ab209072bca8c6,case-1001-veh_004-w0000,rsu,benign,benign,-1,0
1001,det-dcf652ab075d609b59197eb0,case-1001-veh_005-w0000,rsu,benign,benign,-1,0
1001,det-f9cdc5f4a79d887c4fda0833,case-1001-veh_004-w0000,rsu,benign,benign,-1,0
1001,wdet-5a20c302332921e61966afd2,case-1001-veh_000-w0000,vehicle_witness,position_offset,benign,-1,0
1001,wdet-83151e8aa2ef96e8fc55c7c4,case-1001-veh_005-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-9088054f4f991ce835f7ac45,case-1001-veh_004-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-d1a20c1175662e60d68a5363,case-1001-veh_001-w0000,vehicle_witness,benign,benign,-1,0
1001,det-0a99da0b75b8caa2a9bf6c7e,case-1001-veh_006-w0000,rsu,benign,benign,-1,0
1001,det-2e0bf0fe5d333fbd71a218ae,case-1001-veh_005-w0000,rsu,benign,benign,-1,0
1001,det-3410ebc76c69f65200cbf2d8,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-3edf600f5b568329a94376a6,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-8f32501ceb5fa36dd9b0e7a6,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-906ab0d13a4338b5e3c05111,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-a0dc20cc18636f2546f6f6eb,case-1001-veh_005-w0000,rsu,benign,benign,-1,0
1001,det-a61f6e1f6aabc877c70ec6c9,case-1001-veh_006-w0000,rsu,benign,benign,-1,0
1001,det-b79cb9de309207acfc8cf443,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-c102977b3bf37fd77ecec6e8,case-1001-veh_004-w0000,rsu,benign,benign,-1,0
1001,det-c949f8d6afa1ba19c0d7cc23,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-ca806a1506a0ba9dd2b1c944,case-1001-veh_004-w0000,rsu,benign,benign,-1,0
1001,det-f1c17b38d78f069efb37b2fa,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-fbce9d4a85e090c93e405b2d,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,wdet-4b4d24303f41d6a430ebc4c2,case-1001-veh_001-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-5244cb39e9fd62836a694b82,case-1001-veh_005-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-6e874bee3486f1fa2668f35f,case-1001-veh_006-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-bbe11c648a3136fe5729709a,case-1001-veh_004-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-c81793bf608faf00edf797fc,case-1001-veh_002-w0000,vehicle_witness,benign,benign,1,0
1001,wdet-fb525085a2b45f890eef1aee,case-1001-veh_000-w0000,vehicle_witness,position_offset,benign,-1,0
1001,det-1a0497e463cca1cf30af1d3c,case-1001-veh_007-w0000,rsu,benign,benign,-1,0
1001,det-24a013d36c90bf6e62db2982,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-2a8a53ea273d612e45896114,case-1001-veh_005-w0000,rsu,benign,benign,-1,0
1001,det-3a228477420bd342904a77b0,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-5001a9daeec7f53b5ab8e26f,case-1001-veh_007-w0000,rsu,benign,benign,-1,0
1001,det-810fc967dc36e6f3f62f5634,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-8ad14c3a15fdb15abb0009c9,case-1001-veh_004-w0000,rsu,benign,benign,-1,0
1001,det-9460f2509336c1b2dac08cd9,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
