case_id,vehicle_id,architecture,previous_state,new_state,detected_at,qualified_at,finalized_at,ledger_available_at,decision_margin,committed,reason,metadata,attack_type,ground_truth_malicious,predicted_revoked,article_native_reference_qualified,inferred_attack_type,seed
case-1001-veh_000-w0000,veh_000,centralized_vpuft,trusted,trusted,1.0,,14.022387694220422,,-0.9546004915305875,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9546004915305875, 'independent_roots': 0, 'correlated_suppressed': 28, 'attempted_attestations': 42, 'arrived_attestations': 42, 'dropped_attestations': 0}",benign,0,0,0,position_offset,1001
case-1001-veh_001-w0000,veh_001,centralized_vpuft,trusted,trusted,2.0,,14.031935803324975,,-0.9516800540696281,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9516800540696281, 'independent_roots': 0, 'correlated_suppressed': 24, 'attempted_attestations': 37, 'arrived_attestations': 37, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_002-w0000,veh_002,centralized_vpuft,trusted,trusted,3.0,,14.034016661070588,,-0.9483237163145073,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9483237163145073, 'independent_roots': 0, 'correlated_suppressed': 21, 'attempted_attestations': 33, 'arrived_attestations': 33, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_003-w0000,veh_003,centralized_vpuft,trusted,trusted,4.0,,14.031795948658667,,-0.94414317235399,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.94414317235399, 'independent_roots': 0, 'correlated_suppressed': 14, 'attempted_attestations': 25, 'arrived_attestations': 25, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_004-w0000,veh_004,centralized_vpuft,trusted,trusted,5.0,,14.043592511198325,,-0.9400345673772417,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9400345673772417, 'independent_roots': 0, 'correlated_suppressed': 15, 'attempted_attestations': 25, 'arrived_attestations': 25, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_005-w0000,veh_005,centralized_vpuft,trusted,trusted,6.0,,14.043795948658667,,-0.9340775298469249,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 9.341305402491784, 'supporting_strength': 0.0, 'opposing_strength': 0.9340775298469249, 'independent_roots': 0, 'correlated_suppressed': 11, 'attempted_attestations': 20, 'arrived_attestations': 20, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_006-w0000,veh_006,centralized_vpuft,trusted,trusted,7.0,,14.046183540663419,,-0.9266891715883673,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9266891715883673, 'independent_roots': 0, 'correlated_suppressed': 8, 'attempted_attestations': 16, 'arrived_attestations': 16, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_007-w0000,veh_007,centralized_vpuft,trusted,trusted,8.0,,14.046016661070588,,-0.9173190666858304,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 6.439416235393125, 'supporting_strength': 0.0, 'opposing_strength': 0.9173190666858304, 'independent_roots': 0, 'correlated_suppressed': 7, 'attempted_attestations': 14, 'arrived_attestations': 14, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_008-w0000,veh_008,centralized_vpuft,trusted,trusted,9.0,,14.055592511198325,,-0.9065208988482482,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 8.002006102028503, 'supporting_strength': 0.0, 'opposing_strength': 0.9065208988482482, 'independent_roots': 0, 'correlated_suppressed': 6, 'attempted_attestations': 12, 'arrived_attestations': 12, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_009-w0000,veh_009,centralized_vpuft,trusted,trusted,10.0,,14.055795948658668,,-0.8901169349717936,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 14.968949306497947, 'supporting_strength': 0.0, 'opposing_strength': 0.8901169349717936, 'independent_roots': 0, 'correlated_suppressed': 5, 'attempted_attestations': 10, 'arrived_attestations': 10, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_010-w0000,veh_010,centralized_vpuft,trusted,trusted,11.0,,14.058016661070589,,-0.866545434882515,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 11.631141325892713, 'supporting_strength': 0.0, 'opposing_strength': 0.866545434882515, 'independent_roots': 0, 'correlated_suppressed': 4, 'attempted_attestations': 8, 'arrived_attestations': 8, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_011-w0000,veh_011,centralized_vpuft,trusted,trusted,12.0,,14.05818354066342,,-0.8298650505048768,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 17.456393578184404, 'supporting_strength': 0.0, 'opposing_strength': 0.8298650505048768, 'independent_roots': 0, 'correlated_suppressed': 3, 'attempted_attestations': 6, 'arrived_attestations': 6, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_012-w0000,veh_012,centralized_vpuft,trusted,trusted,13.0,,14.067592511198326,,-0.7681401535312116,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 13.157947711956552, 'supporting_strength': 0.0, 'opposing_strength': 0.7681401535312116, 'independent_roots': 0, 'correlated_suppressed': 2, 'attempted_attestations': 4, 'arrived_attestations': 4, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_013-w0000,veh_013,centralized_vpuft,trusted,trusted,14.0,,14.067795948658668,,-0.623756670664029,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 30.073505057547578, 'supporting_strength': 0.0, 'opposing_strength': 0.623756670664029, 'independent_roots': 0, 'correlated_suppressed': 1, 'attempted_attestations': 2, 'arrived_attestations': 2, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_000-w0001,veh_000,centralized_vpuft,trusted,trusted,15.0,,29.023320055407925,,-0.9568429603912599,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9568429603912599, 'independent_roots': 0, 'correlated_suppressed': 67, 'attempted_attestations': 82, 'arrived_attestations': 82, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_001-w0001,veh_001,centralized_vpuft,trusted,trusted,15.0,,29.031024506198495,,-0.9567485590358323,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9567485590358323, 'independent_roots': 0, 'correlated_suppressed': 66, 'attempted_attestations': 81, 'arrived_attestations': 81, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_002-w0001,veh_002,centralized_vpuft,trusted,revoked,15.0,29.0391175148522,29.0391175148522,29.040117514852202,0.7176679773867387,True,evidence_qualified,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.8420505813880053, 'opposing_strength': 0.12438260400126659, 'independent_roots': 12, 'correlated_suppressed': 67, 'attempted_attestations': 82, 'arrived_attestations': 82, 'dropped_attestations': 0}",position_offset,1,1,0,position_offset,1001
case-1001-veh_003-w0001,veh_003,centralized_vpuft,trusted,trusted,15.0,,29.055061675216272,,-0.9568077469369795,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9568077469369795, 'independent_roots': 0, 'correlated_suppressed': 63, 'attempted_attestations': 78, 'arrived_attestations': 78, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_004-w0001,veh_004,centralized_vpuft,trusted,revoked,15.0,29.050646453547706,29.050646453547706,29.051646453547708,0.5296580810227439,True,evidence_qualified,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.7479836360828643, 'opposing_strength': 0.21832555506012044, 'independent_roots': 10, 'correlated_suppressed': 65, 'attempted_attestations': 80, 'arrived_attestations': 80, 'dropped_attestations': 0}",speed_offset,1,1,0,speed_offset,1001
case-1001-veh_005-w0001,veh_005,centralized_vpuft,trusted,trusted,15.0,,29.057069503913105,,-0.956695419964374,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.956695419964374, 'independent_roots': 0, 'correlated_suppressed': 64, 'attempted_attestations': 79, 'arrived_attestations': 79, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_006-w0001,veh_006,centralized_vpuft,trusted,suspected,15.0,,29.06908763654988,,-0.5160404968813678,False,insufficient_weighted_margin,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.15159812829283228, 'opposing_strength': 0.6676386251742, 'independent_roots': 4, 'correlated_suppressed': 66, 'attempted_attestations': 73, 'arrived_attestations': 73, 'dropped_attestations': 0}",replay,1,0,0,replay,1001
case-1001-veh_007-w0001,veh_007,centralized_vpuft,trusted,trusted,15.0,,29.089308894692458,,-0.9567255828297394,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9567255828297394, 'independent_roots': 0, 'correlated_suppressed': 55, 'attempted_attestations': 70, 'arrived_attestations': 70, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_008-w0001,veh_008,centralized_vpuft,trusted,revoked,15.0,29.085944439407108,29.085944439407108,29.08694443940711,0.022261116172502926,True,cryptographic_decisive_evidence,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.49223983924476067, 'opposing_strength': 0.46997872307225774, 'independent_roots': 6, 'correlated_suppressed': 56, 'attempted_attestations': 71, 'arrived_attestations': 71, 'dropped_attestations': 0}",benign,0,1,0,certificate_tamper,1001
case-1001-veh_009-w0001,veh_009,centralized_vpuft,trusted,trusted,15.0,,29.094093711630645,,-0.9566148154820133,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9566148154820133, 'independent_roots': 0, 'correlated_suppressed': 52, 'attempted_attestations': 67, 'arrived_attestations': 67, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_010-w0001,veh_010,centralized_vpuft,trusted,suspected,15.0,,29.100933866874797,,-0.8971111995909348,False,insufficient_weighted_margin,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.021882376768766736, 'opposing_strength': 0.9189935763597015, 'independent_roots': 4, 'correlated_suppressed': 128, 'attempted_attestations': 143, 'arrived_attestations': 143, 'dropped_attestations': 0}",benign,0,0,0,flood,1001
case-1001-veh_011-w0001,veh_011,centralized_vpuft,trusted,trusted,15.0,,29.106435943921216,,-0.9566228941956766,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9566228941956766, 'independent_roots': 0, 'correlated_suppressed': 45, 'attempted_attestations': 60, 'arrived_attestations': 60, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_012-w0001,veh_012,centralized_vpuft,trusted,quarantined,15.0,,29.10130889469246,,0.6196520428490022,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 5.810975245285732, 'supporting_strength': 0.6196520428490022, 'opposing_strength': 0.0, 'independent_roots': 1, 'correlated_suppressed': 42, 'attempted_attestations': 57, 'arrived_attestations': 57, 'dropped_attestations': 0}",benign,0,0,0,false_denm,1001
case-1001-veh_013-w0001,veh_013,centralized_vpuft,trusted,trusted,15.0,,29.110744428182883,,-0.9565822336327577,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9565822336327577, 'independent_roots': 0, 'correlated_suppressed': 39, 'attempted_attestations': 54, 'arrived_attestations': 54, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_014-w0001,veh_014,centralized_vpuft,trusted,trusted,15.0,,29.115313392618948,,-0.956590719333247,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.956590719333247, 'independent_roots': 0, 'correlated_suppressed': 36, 'attempted_attestations': 51, 'arrived_attestations': 51, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_015-w0001,veh_015,centralized_vpuft,trusted,trusted,16.0,,29.114958789179894,,-0.954208936358978,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.954208936358978, 'independent_roots': 0, 'correlated_suppressed': 29, 'attempted_attestations': 43, 'arrived_attestations': 43, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_016-w0001,veh_016,centralized_vpuft,trusted,trusted,17.0,,29.118435943921217,,-0.9517888520797199,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 5.482248974946202, 'supporting_strength': 0.0, 'opposing_strength': 0.9517888520797199, 'independent_roots': 0, 'correlated_suppressed': 28, 'attempted_attestations': 41, 'arrived_attestations': 41, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_017-w0001,veh_017,centralized_vpuft,trusted,trusted,18.0,,29.122744428182884,,-0.9483353773596139,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.027869277754888344, 'supporting_strength': 0.0, 'opposing_strength': 0.9483353773596139, 'independent_roots': 0, 'correlated_suppressed': 24, 'attempted_attestations': 36, 'arrived_attestations': 36, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_018-w0001,veh_018,centralized_vpuft,trusted,trusted,19.0,,29.126958789179895,,-0.9443467669650912,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 6.209086563270461, 'supporting_strength': 0.0, 'opposing_strength': 0.9443467669650912, 'independent_roots': 0, 'correlated_suppressed': 20, 'attempted_attestations': 31, 'arrived_attestations': 31, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
