case_id,vehicle_id,architecture,previous_state,new_state,detected_at,qualified_at,finalized_at,ledger_available_at,decision_margin,committed,reason,metadata,attack_type,ground_truth_malicious,predicted_revoked,article_native_reference_qualified,inferred_attack_type,seed
case-1001-veh_000-w0000,veh_000,centralized_vpuft,trusted,trusted,1.0,,14.025643345211178,,-0.9545974559698387,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9545974559698387, 'independent_roots': 0, 'correlated_suppressed': 15, 'attempted_attestations': 29, 'arrived_attestations': 29, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_001-w0000,veh_001,centralized_vpuft,trusted,trusted,2.0,,14.02594948326325,,-0.9514243937071173,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9514243937071173, 'independent_roots': 0, 'correlated_suppressed': 13, 'attempted_attestations': 26, 'arrived_attestations': 26, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_002-w0000,veh_002,centralized_vpuft,trusted,trusted,3.0,,14.030527803324977,,-0.9476428353956724,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9476428353956724, 'independent_roots': 0, 'correlated_suppressed': 12, 'attempted_attestations': 24, 'arrived_attestations': 24, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_003-w0000,veh_003,centralized_vpuft,trusted,trusted,4.0,,14.03260866107059,,-0.9444649516550748,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9444649516550748, 'independent_roots': 0, 'correlated_suppressed': 11, 'attempted_attestations': 22, 'arrived_attestations': 22, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_004-w0000,veh_004,centralized_vpuft,trusted,trusted,5.0,,14.037643345211178,,-0.9400394320632496,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 6.551396552509914, 'supporting_strength': 0.0, 'opposing_strength': 0.9400394320632496, 'independent_roots': 0, 'correlated_suppressed': 20, 'attempted_attestations': 30, 'arrived_attestations': 30, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_005-w0000,veh_005,centralized_vpuft,trusted,trusted,6.0,,14.037949483263251,,-0.9340311775159952,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.5094774248366463, 'supporting_strength': 0.0, 'opposing_strength': 0.9340311775159952, 'independent_roots': 0, 'correlated_suppressed': 18, 'attempted_attestations': 27, 'arrived_attestations': 27, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_006-w0000,veh_006,centralized_vpuft,trusted,trusted,7.0,,14.042527803324978,,-0.9272587120291651,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 1.7885210801313889, 'supporting_strength': 0.0, 'opposing_strength': 0.9272587120291651, 'independent_roots': 0, 'correlated_suppressed': 8, 'attempted_attestations': 16, 'arrived_attestations': 16, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_007-w0000,veh_007,centralized_vpuft,trusted,trusted,8.0,,14.04460866107059,,-0.9171255669898105,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 11.25097287870247, 'supporting_strength': 0.0, 'opposing_strength': 0.9171255669898105, 'independent_roots': 0, 'correlated_suppressed': 7, 'attempted_attestations': 14, 'arrived_attestations': 14, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_008-w0000,veh_008,centralized_vpuft,trusted,trusted,9.0,,14.049643345211178,,-0.9065264796469574,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 15.08084630209261, 'supporting_strength': 0.0, 'opposing_strength': 0.9065264796469574, 'independent_roots': 0, 'correlated_suppressed': 6, 'attempted_attestations': 12, 'arrived_attestations': 12, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_009-w0000,veh_009,centralized_vpuft,trusted,trusted,10.0,,14.049949483263251,,-0.8895344605777831,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 14.227303622122989, 'supporting_strength': 0.0, 'opposing_strength': 0.8895344605777831, 'independent_roots': 0, 'correlated_suppressed': 5, 'attempted_attestations': 10, 'arrived_attestations': 10, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_010-w0000,veh_010,centralized_vpuft,trusted,trusted,11.0,,14.054527803324978,,-0.8651312883643907,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 17.894766347865243, 'supporting_strength': 0.0, 'opposing_strength': 0.8651312883643907, 'independent_roots': 0, 'correlated_suppressed': 4, 'attempted_attestations': 8, 'arrived_attestations': 8, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_011-w0000,veh_011,centralized_vpuft,trusted,trusted,12.0,,14.056608661070591,,-0.8309692905679651,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 9.332669715359287, 'supporting_strength': 0.0, 'opposing_strength': 0.8309692905679651, 'independent_roots': 0, 'correlated_suppressed': 3, 'attempted_attestations': 6, 'arrived_attestations': 6, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_012-w0000,veh_012,centralized_vpuft,trusted,trusted,13.0,,14.061643345211179,,-0.768146288351391,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 28.7644153824278, 'supporting_strength': 0.0, 'opposing_strength': 0.768146288351391, 'independent_roots': 0, 'correlated_suppressed': 4, 'attempted_attestations': 6, 'arrived_attestations': 6, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_013-w0000,veh_013,centralized_vpuft,trusted,trusted,14.0,,14.061949483263252,,-0.6235514949219141,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 25.274483911067236, 'supporting_strength': 0.0, 'opposing_strength': 0.6235514949219141, 'independent_roots': 0, 'correlated_suppressed': 2, 'attempted_attestations': 3, 'arrived_attestations': 3, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_000-w0001,veh_000,centralized_vpuft,trusted,trusted,15.0,,29.022504094143144,,-0.9568438599780125,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9568438599780125, 'independent_roots': 0, 'correlated_suppressed': 18, 'attempted_attestations': 33, 'arrived_attestations': 33, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_001-w0001,veh_001,centralized_vpuft,trusted,trusted,15.0,,29.022126718341852,,-0.9564512170971131,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9564512170971131, 'independent_roots': 0, 'correlated_suppressed': 15, 'attempted_attestations': 30, 'arrived_attestations': 30, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_002-w0001,veh_002,centralized_vpuft,trusted,revoked,15.0,29.028032675237455,29.028032675237455,29.029032675237456,0.7151080758301112,True,evidence_qualified,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.8404479015930619, 'opposing_strength': 0.12533982576295072, 'independent_roots': 12, 'correlated_suppressed': 20, 'attempted_attestations': 35, 'arrived_attestations': 35, 'dropped_attestations': 0}",position_offset,1,1,0,position_offset,1001
case-1001-veh_003-w0001,veh_003,centralized_vpuft,trusted,trusted,15.0,,29.03136517906789,,-0.9566387621833301,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9566387621833301, 'independent_roots': 0, 'correlated_suppressed': 15, 'attempted_attestations': 30, 'arrived_attestations': 30, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_004-w0001,veh_004,centralized_vpuft,trusted,revoked,15.0,29.034126718341852,29.034126718341852,29.035126718341854,0.5288245257931977,True,evidence_qualified,"{'queue_wait_ms': 2.810094744781111, 'supporting_strength': 0.7475517013221711, 'opposing_strength': 0.2187271755289734, 'independent_roots': 10, 'correlated_suppressed': 30, 'attempted_attestations': 45, 'arrived_attestations': 45, 'dropped_attestations': 0}",speed_offset,1,1,0,speed_offset,1001
case-1001-veh_005-w0001,veh_005,centralized_vpuft,trusted,trusted,15.0,,29.03988395469826,,-0.9566293155316745,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9566293155316745, 'independent_roots': 0, 'correlated_suppressed': 30, 'attempted_attestations': 45, 'arrived_attestations': 45, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_006-w0001,veh_006,centralized_vpuft,trusted,suspected,15.0,,29.040032675237455,,-0.516129632652931,False,insufficient_weighted_margin,"{'queue_wait_ms': 0.25806213545465084, 'supporting_strength': 0.15180238024665774, 'opposing_strength': 0.6679320128995887, 'independent_roots': 4, 'correlated_suppressed': 23, 'attempted_attestations': 30, 'arrived_attestations': 30, 'dropped_attestations': 0}",replay,1,0,0,replay,1001
case-1001-veh_007-w0001,veh_007,centralized_vpuft,trusted,trusted,15.0,,29.04336517906789,,-0.9563359462461917,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 1.2442135229981943, 'supporting_strength': 0.0, 'opposing_strength': 0.9563359462461917, 'independent_roots': 0, 'correlated_suppressed': 29, 'attempted_attestations': 44, 'arrived_attestations': 44, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_008-w0001,veh_008,centralized_vpuft,trusted,revoked,15.0,29.046126718341853,29.046126718341853,29.047126718341854,0.01970810318688737,True,cryptographic_decisive_evidence,"{'queue_wait_ms': 1.296477244615346, 'supporting_strength': 0.49094270406420404, 'opposing_strength': 0.47123460087731667, 'independent_roots': 6, 'correlated_suppressed': 19, 'attempted_attestations': 34, 'arrived_attestations': 34, 'dropped_attestations': 0}",benign,0,1,0,certificate_tamper,1001
case-1001-veh_009-w0001,veh_009,centralized_vpuft,trusted,trusted,15.0,,29.051883954698262,,-0.9564181675585829,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 2.353643750975465, 'supporting_strength': 0.0, 'opposing_strength': 0.9564181675585829, 'independent_roots': 0, 'correlated_suppressed': 15, 'attempted_attestations': 30, 'arrived_attestations': 30, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_010-w0001,veh_010,centralized_vpuft,trusted,suspected,15.0,,29.060346460358073,,-0.8968173252278238,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.021679014486669698, 'opposing_strength': 0.9184963397144934, 'independent_roots': 4, 'correlated_suppressed': 51, 'attempted_attestations': 66, 'arrived_attestations': 66, 'dropped_attestations': 0}",benign,0,0,0,flood,1001
case-1001-veh_011-w0001,veh_011,centralized_vpuft,trusted,trusted,15.0,,29.05536517906789,,-0.9566120683136394,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 7.043546837810055, 'supporting_strength': 0.0, 'opposing_strength': 0.9566120683136394, 'independent_roots': 0, 'correlated_suppressed': 15, 'attempted_attestations': 30, 'arrived_attestations': 30, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_012-w0001,veh_012,centralized_vpuft,trusted,quarantined,15.0,,29.05848413166232,,0.6197683002562145,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.6197683002562145, 'opposing_strength': 0.0, 'independent_roots': 1, 'correlated_suppressed': 30, 'attempted_attestations': 45, 'arrived_attestations': 45, 'dropped_attestations': 0}",benign,0,0,0,false_denm,1001
case-1001-veh_013-w0001,veh_013,centralized_vpuft,trusted,trusted,15.0,,29.066175341596626,,-0.9565999630191188,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9565999630191188, 'independent_roots': 0, 'correlated_suppressed': 30, 'attempted_attestations': 45, 'arrived_attestations': 45, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_014-w0001,veh_014,centralized_vpuft,trusted,trusted,15.0,,29.06736517906789,,-0.9567939806642695,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.037542518008137904, 'supporting_strength': 0.0, 'opposing_strength': 0.9567939806642695, 'independent_roots': 0, 'correlated_suppressed': 17, 'attempted_attestations': 32, 'arrived_attestations': 32, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_015-w0001,veh_015,centralized_vpuft,trusted,trusted,16.0,,29.07048413166232,,-0.9539261005631999,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 4.45894304158756, 'supporting_strength': 0.0, 'opposing_strength': 0.9539261005631999, 'independent_roots': 0, 'correlated_suppressed': 14, 'attempted_attestations': 28, 'arrived_attestations': 28, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_016-w0001,veh_016,centralized_vpuft,trusted,trusted,17.0,,29.072346460358073,,-0.9518290663701606,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.9618780795861426, 'supporting_strength': 0.0, 'opposing_strength': 0.9518290663701606, 'independent_roots': 0, 'correlated_suppressed': 16, 'attempted_attestations': 29, 'arrived_attestations': 29, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_017-w0001,veh_017,centralized_vpuft,trusted,trusted,18.0,,29.078175341596626,,-0.9480927392065149,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.7704469041769357, 'supporting_strength': 0.0, 'opposing_strength': 0.9480927392065149, 'independent_roots': 0, 'correlated_suppressed': 12, 'attempted_attestations': 24, 'arrived_attestations': 24, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_018-w0001,veh_018,centralized_vpuft,trusted,trusted,19.0,,29.079365179067892,,-0.9436385797747869,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 9.083937578814982, 'supporting_strength': 0.0, 'opposing_strength': 0.9436385797747869, 'independent_roots': 0, 'correlated_suppressed': 11, 'attempted_attestations': 22, 'arrived_attestations': 22, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_019-w0001,veh_019,centralized_vpuft,trusted,trusted,20.0,,29.08248413166232,,-0.9397239223752705,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 10.901583310911178, 'supporting_strength': 0.0, 'opposing_strength': 0.9397239223752705, 'independent_roots': 0, 'correlated_suppressed': 10, 'attempted_attestations': 20, 'arrived_attestations': 20, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_020-w0001,veh_020,centralized_vpuft,trusted,trusted,21.0,,29.084346460358073,,-0.9342982775574221,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 9.362941298295624, 'supporting_strength': 0.0, 'opposing_strength': 0.9342982775574221, 'independent_roots': 0, 'correlated_suppressed': 18, 'attempted_attestations': 27, 'arrived_attestations': 27, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_021-w0001,veh_021,centralized_vpuft,trusted,trusted,22.0,,29.090175341596627,,-0.92687941800556,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 10.368766016910058, 'supporting_strength': 0.0, 'opposing_strength': 0.92687941800556, 'independent_roots': 0, 'correlated_suppressed': 16, 'attempted_attestations': 24, 'arrived_attestations': 24, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_022-w0001,veh_022,centralized_vpuft,trusted,trusted,23.0,,29.091365179067893,,-0.9182351045581896,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 16.552108127719123, 'supporting_strength': 0.0, 'opposing_strength': 0.9182351045581896, 'independent_roots': 0, 'correlated_suppressed': 7, 'attempted_attestations': 14, 'arrived_attestations': 14, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_023-w0001,veh_023,centralized_vpuft,trusted,trusted,24.0,,29.09448413166232,,-0.9051761745492178,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 10.886420031685162, 'supporting_strength': 0.0, 'opposing_strength': 0.9051761745492178, 'independent_roots': 0, 'correlated_suppressed': 6, 'attempted_attestations': 12, 'arrived_attestations': 12, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_000-w0002,veh_000,centralized_vpuft,trusted,trusted,30.0,,44.02258402216535,,-0.9568437718706735,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9568437718706735, 'independent_roots': 0, 'correlated_suppressed': 15, 'attempted_attestations': 30, 'arrived_attestations': 30, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_001-w0002,veh_001,centralized_vpuft,trusted,trusted,30.0,,44.026334630478075,,-0.9566160864477596,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9566160864477596, 'independent_roots': 0, 'correlated_suppressed': 16, 'attempted_attestations': 31, 'arrived_attestations': 31, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_002-w0002,veh_002,centralized_vpuft,revoked,revoked,30.0,44.02069042155565,44.02069042155565,44.02169042155565,0.9669152224488577,True,evidence_qualified,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.9669152224488577, 'opposing_strength': 0.0, 'independent_roots': 15, 'correlated_suppressed': 15, 'attempted_attestations': 30, 'arrived_attestations': 30, 'dropped_attestations': 0}",position_offset,1,1,0,position_offset,1001
case-1001-veh_003-w0002,veh_003,centralized_vpuft,trusted,trusted,30.0,,44.03474978586282,,-0.9565015120178011,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9565015120178011, 'independent_roots': 0, 'correlated_suppressed': 16, 'attempted_attestations': 31, 'arrived_attestations': 31, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_004-w0002,veh_004,centralized_vpuft,revoked,revoked,30.0,44.03777720788042,44.03777720788042,44.038777207880415,0.9683235335421384,True,evidence_qualified,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.9683235335421384, 'opposing_strength': 0.0, 'independent_roots': 15, 'correlated_suppressed': 53, 'attempted_attestations': 68, 'arrived_attestations': 68, 'dropped_attestations': 0}",speed_offset,1,1,0,speed_offset,1001
case-1001-veh_005-w0002,veh_005,centralized_vpuft,trusted,trusted,30.0,,44.042915040727415,,-0.9566259468228259,False,insufficient_independent_evidence_diversity,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.0, 'opposing_strength': 0.9566259468228259, 'independent_roots': 0, 'correlated_suppressed': 50, 'attempted_attestations': 65, 'arrived_attestations': 65, 'dropped_attestations': 0}",benign,0,0,0,benign,1001
case-1001-veh_006-w0002,veh_006,centralized_vpuft,suspected,revoked,30.0,44.04623430248861,44.04623430248861,44.047234302488604,0.9014725629980731,True,cryptographic_decisive_evidence,"{'queue_wait_ms': 0.0, 'supporting_strength': 0.9014725629980731, 'opposing_strength': 0.0, 'independent_roots': 4, 'correlated_suppressed': 26, 'attempted_attestations': 30, 'arrived_attestations': 30, 'dropped_attestations': 0}",replay,1,1,0,replay,1001
