central_comparator,topology,vehicle_count,seed,architecture__distributed,backhaul_extra_latency_ms__distributed,case_id,vehicle_id__distributed,attack_type__distributed,ground_truth_malicious__distributed,predicted_revoked__distributed,committed__distributed,new_state__distributed,reason__distributed,detected_at__distributed,qualified_at__distributed,finalized_at__distributed,ledger_available_at__distributed,decision_margin__distributed,metadata_json__distributed,architecture__central,backhaul_extra_latency_ms__central,vehicle_id__central,attack_type__central,ground_truth_malicious__central,predicted_revoked__central,committed__central,new_state__central,reason__central,detected_at__central,qualified_at__central,finalized_at__central,ledger_available_at__central,decision_margin__central,metadata_json__central
central_crn_available_0ms,intersection,60,1001,distributed_crn_honest,0.0,case-intersection-1001-veh_032-w0001,veh_032,flood,1,1,1,revoked,committed,15.0,30.20418711971633,30.33322357220341,30.348631916357757,0.5528862058383707,"{""correlated_suppressed"": 216, ""evidence_bundle_bytes"": 163712, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 14, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}",central_crn_available_0ms,0.0,veh_032,flood,1,0,0,suspected,insufficient_weighted_margin,15.0,,29.295912612941613,,0.0450504244338672,"{""arrived_attestations"": 232, ""attempted_attestations"": 232, ""correlated_suppressed"": 217, ""dropped_attestations"": 0, ""independent_roots"": 14, ""opposing_strength"": 0.3284215270594911, ""queue_wait_ms"": 0.0, ""supporting_strength"": 0.3734719514933583}"
central_crn_available_0ms,intersection,60,1002,distributed_crn_honest,0.0,case-intersection-1002-veh_032-w0001,veh_032,flood,1,1,1,revoked,committed,15.0,30.193849505715058,30.31847315998949,30.332601525970528,0.5410658472436922,"{""correlated_suppressed"": 211, ""evidence_bundle_bytes"": 160192, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 14, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}",central_crn_available_0ms,0.0,veh_032,flood,1,0,0,suspected,insufficient_weighted_margin,15.0,,29.27614578321332,,0.026706778591461,"{""arrived_attestations"": 227, ""attempted_attestations"": 227, ""correlated_suppressed"": 212, ""dropped_attestations"": 0, ""independent_roots"": 14, ""opposing_strength"": 0.33506647091671704, ""queue_wait_ms"": 0.0, ""supporting_strength"": 0.3617732495081781}"
central_crn_available_0ms,intersection,60,1004,distributed_crn_honest,0.0,case-intersection-1004-veh_032-w0001,veh_032,flood,1,1,1,revoked,committed,15.0,30.20281825490813,30.325611717387822,30.336227428401973,0.5414846307501419,"{""correlated_suppressed"": 211, ""evidence_bundle_bytes"": 160192, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 14, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}",central_crn_available_0ms,0.0,veh_032,flood,1,0,0,suspected,insufficient_weighted_margin,15.0,,29.30595142943641,,0.0290824487524369,"{""arrived_attestations"": 227, ""attempted_attestations"": 227, ""correlated_suppressed"": 212, ""dropped_attestations"": 0, ""independent_roots"": 14, ""opposing_strength"": 0.3337392759866234, ""queue_wait_ms"": 0.0, ""supporting_strength"": 0.3628217247390603}"
central_crn_available_0ms,intersection,60,1007,distributed_crn_honest,0.0,case-intersection-1007-veh_032-w0001,veh_032,flood,1,1,1,revoked,committed,15.0,30.22985767148604,30.36463678353834,30.37825419785564,0.535681140429943,"{""correlated_suppressed"": 211, ""evidence_bundle_bytes"": 160192, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 14, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}",central_crn_available_0ms,0.0,veh_032,flood,1,0,0,suspected,insufficient_weighted_margin,15.0,,29.31354133053204,,0.0213998008988958,"{""arrived_attestations"": 227, ""attempted_attestations"": 227, ""correlated_suppressed"": 212, ""dropped_attestations"": 0, ""independent_roots"": 14, ""opposing_strength"": 0.3362459395850531, ""queue_wait_ms"": 0.0, ""supporting_strength"": 0.3576457404839489}"
central_crn_available_0ms,intersection,60,1008,distributed_crn_honest,0.0,case-intersection-1008-veh_032-w0001,veh_032,flood,1,1,1,revoked,committed,15.0,30.25221115510045,30.38435695442294,30.39682300606581,0.5418151305815411,"{""correlated_suppressed"": 231, ""evidence_bundle_bytes"": 174272, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 14, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}",central_crn_available_0ms,0.0,veh_032,flood,1,0,0,suspected,insufficient_weighted_margin,15.0,,29.295163188385686,,0.029441543544945,"{""arrived_attestations"": 247, ""attempted_attestations"": 247, ""correlated_suppressed"": 232, ""dropped_attestations"": 0, ""independent_roots"": 14, ""opposing_strength"": 0.33380253530266385, ""queue_wait_ms"": 0.0, ""supporting_strength"": 0.3632440788476089}"
central_crn_available_0ms,intersection,60,1010,distributed_crn_honest,0.0,case-intersection-1010-veh_032-w0001,veh_032,flood,1,1,1,revoked,committed,15.0,30.2044561958012,30.333474732432904,30.34364423956374,0.5389752307089992,"{""correlated_suppressed"": 216, ""evidence_bundle_bytes"": 163712, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 14, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}",central_crn_available_0ms,0.0,veh_032,flood,1,0,0,suspected,insufficient_weighted_margin,15.0,,29.32385711204004,,0.0265152642585099,"{""arrived_attestations"": 232, ""attempted_attestations"": 232, ""correlated_suppressed"": 217, ""dropped_attestations"": 0, ""independent_roots"": 14, ""opposing_strength"": 0.3343046022081474, ""queue_wait_ms"": 0.0, ""supporting_strength"": 0.3608198664666573}"
central_crn_available_0ms,intersection,80,1003,distributed_crn_honest,0.0,case-intersection-1003-veh_073-w0002,veh_073,flood,1,0,0,quarantined,insufficient_weighted_margin,33.0,,,,0.4986621735574263,"{""arrived_attestations"": 160, ""attempted_attestations"": 160, ""correlated_suppressed"": 148, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 12, ""validator_requalification"": false}",central_crn_available_0ms,0.0,veh_073,flood,1,1,1,revoked,evidence_qualified,33.0,44.627241347269,44.627241347269,44.628241347269,0.5017763065853326,"{""arrived_attestations"": 160, ""attempted_attestations"": 160, ""correlated_suppressed"": 148, ""dropped_attestations"": 0, ""independent_roots"": 12, ""opposing_strength"": 0.0, ""queue_wait_ms"": 0.0, ""supporting_strength"": 0.5017763065853326}"
central_crn_available_0ms,intersection,80,1008,distributed_crn_honest,0.0,case-intersection-1008-veh_056-w0002,veh_056,false_denm,1,0,0,quarantined,insufficient_independent_evidence_diversity,30.0,,,,0.7486034736623912,"{""arrived_attestations"": 60, ""attempted_attestations"": 60, ""correlated_suppressed"": 44, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 2, ""validator_requalification"": false}",central_crn_available_0ms,0.0,veh_056,false_denm,1,1,1,revoked,evidence_qualified,30.0,44.50073070027817,44.50073070027817,44.501730700278166,0.8035417652958537,"{""arrived_attestations"": 60, ""attempted_attestations"": 60, ""correlated_suppressed"": 45, ""dropped_attestations"": 0, ""independent_roots"": 3, ""opposing_strength"": 0.0, ""queue_wait_ms"": 0.0, ""supporting_strength"": 0.8035417652958537}"
central_crn_available_0ms,intersection,80,1009,distributed_crn_honest,0.0,case-intersection-1009-veh_056-w0002,veh_056,false_denm,1,0,0,quarantined,insufficient_independent_evidence_diversity,30.0,,,,0.7495602432168602,"{""arrived_attestations"": 57, ""attempted_attestations"": 57, ""correlated_suppressed"": 41, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 2, ""validator_requalification"": false}",central_crn_available_0ms,0.0,veh_056,false_denm,1,1,1,revoked,evidence_qualified,30.0,44.53387552669878,44.53387552669878,44.53487552669878,0.8038762467591002,"{""arrived_attestations"": 57, ""attempted_attestations"": 57, ""correlated_suppressed"": 42, ""dropped_attestations"": 0, ""independent_roots"": 3, ""opposing_strength"": 0.0, ""queue_wait_ms"": 0.0, ""supporting_strength"": 0.8038762467591002}"
central_crn_available_0ms,intersection,100,1003,distributed_crn_honest,0.0,case-intersection-1003-veh_073-w0002,veh_073,flood,1,0,0,quarantined,insufficient_weighted_margin,33.0,,,,0.4989888730293136,"{""arrived_attestations"": 165, ""attempted_attestations"": 165, ""correlated_suppressed"": 153, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 12, ""validator_requalification"": false}",central_crn_available_0ms,0.0,veh_073,flood,1,1,1,revoked,evidence_qualified,33.0,44.62611334726899,44.62611334726899,44.62711334726899,0.5017788077547473,"{""arrived_attestations"": 165, ""attempted_attestations"": 165, ""correlated_suppressed"": 153, ""dropped_attestations"": 0, ""independent_roots"": 12, ""opposing_strength"": 0.0, ""queue_wait_ms"": 0.0, ""supporting_strength"": 0.5017788077547473}"
