event_id,case_id,observation_root_id,seed,vehicle_id,pseudonym,message_id,attack_type,detected_by,source_kind,validator_rsu_id,detected_at,ground_truth_malicious,direction,detector_confidence,source_reliability,freshness,verifiability,independence,raw_evidence_hash,geographic_cell,administrative_domain_id,sensor_modality,reason_codes,payload
det-f4791f76fde449f92ea2817c,case-intersection-1001-veh_000-benign,root-cdc9f869cf524b35d42110a1,1001,veh_000,ps-0b6a8266609a146f,cam-1001-veh_000-000000,benign,rsu-1,rsu,rsu-1,1.0,False,-1,0.78,0.96,0.99,0.76,0.92,f9b91e7b4899708df008707959599c8f2a323e1c306a462ddc9b6a8f21772f34,cell-1-2,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 244.90522656733972}"
det-1fa672c70846f83be4095c5c,case-intersection-1001-veh_000-benign,root-cdc9f869cf524b35d42110a1,1001,veh_000,ps-0b6a8266609a146f,cam-1001-veh_000-000000,benign,rsu-5,rsu,rsu-5,1.0,False,-1,0.78,0.92,0.99,0.76,0.68,18f432f8364f2d6831cd32949cf3e0b726af310e194aaa595d6f5517355cdbac,cell-1-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 426.2670172556164}"
det-0fd6c879620b0a039a7cc388,case-intersection-1001-veh_000-benign,root-183cc94014dd12223f9014d0,1001,veh_000,ps-0b6a8266609a146f,cam-1001-veh_000-000001,benign,rsu-1,rsu,rsu-1,2.0,False,-1,0.78,0.96,0.99,0.76,0.92,08210193ce153d3bf25e6e463cbd9e3d42fe3928db0e44b9ef11a51ee843740b,cell-1-2,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 230.849419521567}"
det-76b42901d80ec2b14cbe81f1,case-intersection-1001-veh_000-benign,root-183cc94014dd12223f9014d0,1001,veh_000,ps-0b6a8266609a146f,cam-1001-veh_000-000001,benign,rsu-5,rsu,rsu-5,2.0,False,-1,0.78,0.92,0.99,0.76,0.68,2be8a89faf66b9bdaa4a14df3ea6fee373b698f1eb34347422bcde7a1be432af,cell-1-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 412.4279460023313}"
det-32a4a1a0857c98b90d1b3c99,case-intersection-1001-veh_001-benign,root-d891f6c8cbc045bdbf04a246,1001,veh_001,ps-11b4aa50327f89a0,cam-1001-veh_001-000000,benign,rsu-2,rsu,rsu-2,2.0,False,-1,0.78,0.95,0.99,0.76,0.92,b62354b5935cc0d766dc3d87e509a4fdbd465584bb48c416c1608330041fa3dd,cell-3-2,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 244.9052265673397}"
det-93d8656c1b5e2e19b8a2bde9,case-intersection-1001-veh_001-benign,root-d891f6c8cbc045bdbf04a246,1001,veh_001,ps-11b4aa50327f89a0,cam-1001-veh_001-000000,benign,rsu-6,rsu,rsu-6,2.0,False,-1,0.78,0.9,0.99,0.76,0.68,ea9773b808d4de4cf8c36f9c2d4ca0bd840cb132aa3ce2f7d65051c884c891e9,cell-2-2,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 426.2670172556164}"
det-c42137e404f7f46f2b0b9e85,case-intersection-1001-veh_000-benign,root-a636bac97b95bab191d2bf2b,1001,veh_000,ps-0b6a8266609a146f,cam-1001-veh_000-000002,benign,rsu-1,rsu,rsu-1,3.0,False,-1,0.78,0.96,0.99,0.76,0.92,4b822a0f20cb44fe8aa30d52713a987ed9a518aa0b86f13f7886a668c7c219b8,cell-1-2,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 217.32459950332867}"
det-9feeeafe6c6ff79ade39d369,case-intersection-1001-veh_000-benign,root-a636bac97b95bab191d2bf2b,1001,veh_000,ps-0b6a8266609a146f,cam-1001-veh_000-000002,benign,rsu-5,rsu,rsu-5,3.0,False,-1,0.78,0.92,0.99,0.76,0.68,a3db512441f660c7c22ba49f302d76d620670cdac1ac3eab57c8d8d152b43099,cell-1-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 399.125957455761}"
det-7b7ff793eef1bec4fae654c2,case-intersection-1001-veh_001-benign,root-0d16555e056404a7dd0f068d,1001,veh_001,ps-11b4aa50327f89a0,cam-1001-veh_001-000001,benign,rsu-2,rsu,rsu-2,3.0,False,-1,0.78,0.95,0.99,0.76,0.92,975d8a06db31ee3a1f8d3b53998f9e2839a2286660ca498d8f0b2f106b20066a,cell-3-2,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 231.27374869659366}"
det-3d984fb5a0cda1eea296dc27,case-intersection-1001-veh_001-benign,root-0d16555e056404a7dd0f068d,1001,veh_001,ps-11b4aa50327f89a0,cam-1001-veh_001-000001,benign,rsu-6,rsu,rsu-6,3.0,False,-1,0.78,0.9,0.99,0.76,0.68,c75f1a2d98d73a0f71733021965dc2067dfccd52587be3d1a3d2b0d4a4545746,cell-2-2,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 412.84551803118956}"
