topology,vehicle_count,seed,architecture,backhaul_extra_latency_ms,case_id,vehicle_id,attack_type,ground_truth_malicious,predicted_revoked,committed,new_state,reason,detected_at,qualified_at,finalized_at,ledger_available_at,decision_margin,metadata_json
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_003-w0000,veh_003,speed_offset,1,0,0,quarantined,insufficient_weighted_margin,5.0,,,,0.37737233988939195,"{""arrived_attestations"": 40, ""attempted_attestations"": 40, ""correlated_suppressed"": 30, ""evidence_coordinator"": ""rsu-3"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 6, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_007-w0000,veh_007,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,9.0,,,,-0.9065617550709592,"{""arrived_attestations"": 24, ""attempted_attestations"": 24, ""correlated_suppressed"": 18, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_010-w0000,veh_010,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,12.0,,,,-0.831740687182979,"{""arrived_attestations"": 12, ""attempted_attestations"": 12, ""correlated_suppressed"": 9, ""evidence_coordinator"": ""rsu-3"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_003-w0001,veh_003,speed_offset,1,1,1,revoked,committed,15.0,29.008484501236047,29.08101251437838,29.089885182270567,0.968059588276757,"{""correlated_suppressed"": 49, ""evidence_bundle_bytes"": 45440, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 15, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_007-w0001,veh_007,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,15.0,,,,-0.9567585166713957,"{""arrived_attestations"": 61, ""attempted_attestations"": 61, ""correlated_suppressed"": 46, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_010-w0001,veh_010,certificate_tamper,1,1,1,revoked,committed,15.0,29.0968575540152,29.164220209635438,29.179590129325717,0.8896643063494454,"{""correlated_suppressed"": 45, ""evidence_bundle_bytes"": 42624, ""evidence_coordinator"": ""rsu-4"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 14, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_019-w0001,veh_019,mixed,1,0,0,quarantined,insufficient_independent_evidence_diversity,21.0,,,,0.9456837811846275,"{""arrived_attestations"": 96, ""attempted_attestations"": 96, ""correlated_suppressed"": 87, ""evidence_coordinator"": ""rsu-3"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 5, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_001-w0002,veh_001,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,35.0,,,,-0.9397913584614878,"{""arrived_attestations"": 10, ""attempted_attestations"": 10, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_003-w0002,veh_003,speed_offset,1,0,0,revoked,insufficient_weighted_margin,30.0,,,,0.2563759599805405,"{""arrived_attestations"": 48, ""attempted_attestations"": 48, ""correlated_suppressed"": 33, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 9, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_006-w0002,veh_006,replay,1,1,1,revoked,committed,40.0,44.0,44.054391210499325,44.065084533991204,-0.18569522721544635,"{""correlated_suppressed"": 0, ""evidence_bundle_bytes"": 3904, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 2, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_007-w0002,veh_007,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,30.0,,,,-0.956792034085644,"{""arrived_attestations"": 59, ""attempted_attestations"": 59, ""correlated_suppressed"": 44, ""evidence_coordinator"": ""rsu-4"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_010-w0002,veh_010,certificate_tamper,1,1,1,revoked,committed,30.0,44.07537203402668,44.135433548815946,44.146693614750745,0.9661910724313889,"{""correlated_suppressed"": 22, ""evidence_bundle_bytes"": 26432, ""evidence_coordinator"": ""rsu-4"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 15, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_011-w0002,veh_011,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,31.0,,,,-0.9539009856399009,"{""arrived_attestations"": 16, ""attempted_attestations"": 16, ""correlated_suppressed"": 2, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_019-w0002,veh_019,mixed,1,0,0,quarantined,insufficient_independent_evidence_diversity,30.0,,,,0.976653628661766,"{""arrived_attestations"": 256, ""attempted_attestations"": 256, ""correlated_suppressed"": 241, ""evidence_coordinator"": ""rsu-3"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 15, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_001-w0003,veh_001,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,45.0,,,,-0.9566732816703704,"{""arrived_attestations"": 15, ""attempted_attestations"": 15, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_003-w0003,veh_003,benign,0,0,0,revoked,insufficient_independent_evidence_diversity,45.0,,,,-0.956868562039529,"{""arrived_attestations"": 22, ""attempted_attestations"": 22, ""correlated_suppressed"": 7, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_006-w0003,veh_006,speed_offset,0,0,0,revoked,insufficient_independent_evidence_diversity,45.0,,,,-0.9566732816703704,"{""arrived_attestations"": 15, ""attempted_attestations"": 15, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_007-w0003,veh_007,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,45.0,,,,-0.956868562039529,"{""arrived_attestations"": 26, ""attempted_attestations"": 26, ""correlated_suppressed"": 11, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_010-w0003,veh_010,certificate_tamper,0,1,1,revoked,committed,45.0,59.0,59.0507382563884,59.06371046709345,-0.8410207760716386,"{""correlated_suppressed"": 0, ""evidence_bundle_bytes"": 10944, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""fault_activated"": false, ""independent_roots"": 1, ""semantic_proposal_valid"": true, ""validator_checks_passed"": 4, ""validator_checks_total"": 4, ""validator_requalification"": true}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_011-w0003,veh_011,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,45.0,,,,-0.956868562039529,"{""arrived_attestations"": 28, ""attempted_attestations"": 28, ""correlated_suppressed"": 13, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_015-w0003,veh_015,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,48.0,,,,-0.9483978609633217,"{""arrived_attestations"": 12, ""attempted_attestations"": 12, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_017-w0003,veh_017,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,50.0,,,,-0.9397913584614878,"{""arrived_attestations"": 10, ""attempted_attestations"": 10, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_019-w0003,veh_019,mixed,1,0,0,quarantined,insufficient_independent_evidence_diversity,45.0,,,,0.965220658800198,"{""arrived_attestations"": 144, ""attempted_attestations"": 144, ""correlated_suppressed"": 129, ""evidence_coordinator"": ""rsu-4"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 11, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_001-w0004,veh_001,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,60.0,,,,-0.906141899696309,"{""arrived_attestations"": 6, ""attempted_attestations"": 6, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_003-w0004,veh_003,benign,0,0,0,revoked,insufficient_independent_evidence_diversity,60.0,,,,-0.9272949929042673,"{""arrived_attestations"": 8, ""attempted_attestations"": 8, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_006-w0004,veh_006,benign,0,0,0,revoked,insufficient_independent_evidence_diversity,60.0,,,,-0.9444915068987819,"{""arrived_attestations"": 11, ""attempted_attestations"": 11, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_007-w0004,veh_007,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,60.0,,,,-0.9486351323832032,"{""arrived_attestations"": 12, ""attempted_attestations"": 12, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_010-w0004,veh_010,benign,0,0,0,revoked,insufficient_independent_evidence_diversity,60.0,,,,-0.9566732816703704,"{""arrived_attestations"": 15, ""attempted_attestations"": 15, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_011-w0004,veh_011,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,60.0,,,,-0.9546213079964773,"{""arrived_attestations"": 14, ""attempted_attestations"": 14, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_015-w0004,veh_015,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,60.0,,,,-0.9568476878655339,"{""arrived_attestations"": 48, ""attempted_attestations"": 48, ""correlated_suppressed"": 33, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_017-w0004,veh_017,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,60.0,,,,-0.9566732816703704,"{""arrived_attestations"": 15, ""attempted_attestations"": 15, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_019-w0004,veh_019,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,60.0,,,,-0.956868562039529,"{""arrived_attestations"": 19, ""attempted_attestations"": 19, ""correlated_suppressed"": 4, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_010-w0005,veh_010,benign,0,0,0,revoked,insufficient_independent_evidence_diversity,75.0,,,,-0.8900888434594477,"{""arrived_attestations"": 5, ""attempted_attestations"": 5, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_015-w0005,veh_015,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,75.0,,,,-0.9568522391307691,"{""arrived_attestations"": 60, ""attempted_attestations"": 60, ""correlated_suppressed"": 45, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_017-w0005,veh_017,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,75.0,,,,-0.8310321354013177,"{""arrived_attestations"": 3, ""attempted_attestations"": 3, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-2"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_019-w0005,veh_019,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,75.0,,,,-0.8317574270480173,"{""arrived_attestations"": 3, ""attempted_attestations"": 3, ""correlated_suppressed"": 0, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
urban_roundabout,20,1001,distributed_density_honest,,case-urban_roundabout-1001-veh_015-w0006,veh_015,benign,0,0,0,trusted,insufficient_independent_evidence_diversity,90.0,,,,-0.9065614201801182,"{""arrived_attestations"": 24, ""attempted_attestations"": 24, ""correlated_suppressed"": 18, ""evidence_coordinator"": ""rsu-1"", ""evidence_source_guard_checks"": 0, ""evidence_source_guard_enabled"": false, ""evidence_source_guard_stable"": true, ""independent_roots"": 0, ""validator_requalification"": false}"
