seed,event_id,case_id,source_kind,attack_type,ground_truth_attack_type,direction,ground_truth_malicious
1001,det-5ecd25e720e6bf386f97aa54,case-1001-veh_000-w0000,rsu,benign,benign,-1,0
1001,det-f4791f76fde449f92ea2817c,case-1001-veh_000-w0000,rsu,benign,benign,-1,0
1001,det-0fd6c879620b0a039a7cc388,case-1001-veh_000-w0000,rsu,benign,benign,-1,0
1001,det-d735c8622de7267871a029d6,case-1001-veh_000-w0000,rsu,benign,benign,-1,0
1001,det-d7d806e0f10cae27c840eb8c,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-f91cb37c62afbc8387e0b7d5,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-4ba682d9dabd8868286fe44e,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-503ae0b84d3f3cbf63a81d7e,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-76cbbc8f2b7cfabff76eac66,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-c42137e404f7f46f2b0b9e85,case-1001-veh_000-w0000,rsu,benign,benign,-1,0
1001,det-f448074468d2b995867d8872,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-fc83c56715404b7fcca41e53,case-1001-veh_000-w0000,rsu,benign,benign,-1,0
1001,det-10294150cc0028de6f1695e0,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-261ce7c0e1535265451e4fec,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-2fd021d2616c2f9fbd178d9e,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-659bcbc60f5a814841b78190,case-1001-veh_000-w0000,rsu,benign,benign,-1,0
1001,det-9794ab8222b3426320c11f1f,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-b15ca0a3ba9729245e9a0a7e,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-be609463211ef00e65cf3240,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-f6e14e834447b727cb9b5405,case-1001-veh_000-w0000,rsu,benign,benign,-1,0
1001,det-0429a24a54d99b8cb9aae446,case-1001-veh_004-w0000,rsu,benign,benign,-1,0
